论文名称,论文年份,会议简称,论文类型,论文信息,实验数据集,论文解决问题类别,论文方法所属类别,备注
Phase Space Reconstruction Driven Spatio-Temporal Feature Learning for Dynamic Facial Expression Recognition,2020,TAC,,,,,,
Facial Expression Recognition with Deeply-Supervised Attention Network,2020,TAC,,,,,,
Weakly Supervised Local-Global Relation Network for Facial Expression Recognition,2020,IJCAI,,,,,,
Deep Neural Network Augmentation: Generating Faces for Affect Analysis,2020,IJCV,,,,,,
Facial Expression Recognition in Videos using Dynamic Kernels,2020,TIP,,,,,,
Multi-modal Recurrent Attention Networks for Facial Expression Recognition,2020,TIP,,,,,,
"A Unified Deep Model for Joint Facial Expression Recognition, Face Synthesis, and Face Alignment",2020,TIP,,,,,,
Geometry Guided Pose-Invariant Facial Expression Recognition,2020,TIP,,,,,,
Orthogonalization-Guided Feature Fusion Network for Multimodal 2D+3D Facial Expression Recognition,2020,TM,,,,,,
Facial Expression Recognition with Two-branch Disentangled Generative Adversarial Network,2020,TCSVT,,,,,,
Fine-Grained Facial Expression Recognition in the Wild,2020,TIFS,,,,,,
